Name,Age,City_Tier,Job_Type,Monthly_Income,EMI_Amount,Active_Loans,Credit_Utilization(%),UPI_Transactions,Bill_Payment_History(%),Bank_Balance_Variance,Is_MSME,GST_Revenue,Invoice_Defaults,Credit_Score
Quincy Bhargava,59,2,Salaried,20026,2603,2,49,50,95,32,0,0,0,793
Dayamai Purohit,49,2,Salaried,13443,7528,0,35,37,78,39,1,360292,1,740
Urvi Bora,35,2,Salaried,10000,600,0,90,51,73,8,0,0,0,702
Hemal Garde,28,1,Salaried,19685,3937,2,70,53,81,45,0,0,0,678
Ishanvi Sahni,41,1,Salaried,16918,6598,1,94,48,71,26,0,0,0,628
Daksh Karnik,59,1,Salaried,23017,3682,1,30,49,93,26,1,266623,0,862
Girish Kale,39,1,Salaried,15567,467,1,44,31,88,49,0,0,0,781
Naksh Murty,43,3,Self-Employed,30841,18196,2,87,56,98,25,0,0,0,642
Abhimanyu Chawla,31,1,Salaried,19468,6813,1,62,49,78,20,0,0,0,665
Baljiwan Nadig,31,1,Salaried,23619,10392,1,27,49,90,32,0,0,0,706
Saumya Bajwa,44,2,Self-Employed,10249,7071,1,80,45,83,33,1,471116,0,661
Sarthak Srinivasan,56,1,Self-Employed,21850,12454,1,76,53,96,46,0,0,0,685
Anmol Gokhale,44,1,Self-Employed,34667,1040,1,13,58,76,11,0,0,0,796
Omaja Sur,23,2,Self-Employed,19360,13552,3,25,49,90,5,0,0,0,623
Brinda Buch,42,2,Self-Employed,10000,6899,0,25,55,74,12,0,0,0,655
Idika Sinha,22,1,Self-Employed,18066,10839,0,74,49,90,32,0,0,0,622
Harinakshi Bora,44,2,Salaried,35848,21867,1,43,52,86,41,0,0,0,670
Kamya Bava,50,2,Salaried,10831,6606,1,54,55,92,23,0,0,0,681
Yauvani Nadkarni,58,2,Salaried,10000,4300,1,93,33,92,49,0,0,0,691
Karan Swaminathan,22,2,Salaried,21271,2552,3,99,44,75,5,1,209438,1,683
Hardik Johal,41,1,Salaried,10923,4259,0,94,55,99,19,1,229806,2,744
Chaitanya Merchant,53,2,Self-Employed,10000,5500,2,62,46,93,23,0,0,0,682
Henry Dube,32,3,Self-Employed,20889,14622,1,90,49,87,18,1,135191,1,587
Agastya Kapur,42,3,Self-Employed,47371,25580,1,50,55,79,25,1,251278,0,710
Irya Naik,45,3,Salaried,16398,9674,3,73,52,85,22,0,0,0,624
Hemal Shetty,47,2,Salaried,10000,4000,3,87,54,70,31,0,0,0,621
Sanya Rai,48,2,Salaried,10000,200,1,45,51,96,19,0,0,0,813
Ishita Balakrishnan,36,2,Self-Employed,24191,16207,3,43,52,79,6,1,282590,0,661
Mohammed Pau,35,3,Self-Employed,24479,13218,2,34,43,70,8,0,0,0,636
Nandini Sura,23,3,Student,20364,4276,0,20,51,99,47,0,0,0,774
Caleb Ravel,57,1,Salaried,35326,3885,3,88,45,95,9,0,0,0,745
Falan Tailor,27,1,Self-Employed,33260,1330,1,15,47,93,17,0,0,0,798
Arjun Sani,41,1,Salaried,12439,746,1,86,41,87,39,0,0,0,734
Nirja Samra,29,1,Salaried,38196,10694,0,81,43,80,41,0,0,0,671
Joshua Basak,59,3,Self-Employed,22925,917,1,89,58,86,32,0,0,0,763
Liam Goswami,38,1,Student,18161,7809,4,42,43,99,45,0,0,0,693
Caleb Aurora,24,1,Salaried,12013,7688,1,16,62,88,10,0,0,0,662
Sarthak Doctor,45,3,Salaried,13936,3484,1,81,49,89,39,1,226054,0,762
Faras Pall,34,1,Salaried,12613,1513,1,21,49,84,36,0,0,0,769
Bishakha Mittal,29,1,Self-Employed,43614,9158,1,43,45,97,23,0,0,0,747
